TICKER,DATE,YEARREPORT,NPL (3-5),PPOP,NIM,Loan yield
ABB,2018Q1,2018,,532795440137.0,,
ABB,2018Q2,2018,,309098559863.0,0.0265396315171214,
ABB,2018Q3,2018,,205546105756.0,0.0250380682541558,
ABB,2018Q4,2018,,239445740537.0,0.0226609080943888,
ABB,2019Q1,2019,,323380007106.0,0.0279480463200681,
ABB,2019Q2,2019,,518008992894.0,0.0335143680043081,
ABB,2019Q3,2019,,481284203101.0,0.0257732452056585,
ABB,2019Q4,2019,,474028785270.0,0.0267272744343835,
ABB,2020Q1,2020,,473649685715.0,0.0223829362564932,
ABB,2020Q2,2020,,388991314285.0,0.0242654144694508,
ABB,2020Q3,2020,,485718000000.0,0.0271503636084297,
ABB,2020Q4,2020,0.0209151539950981,567743000000.0,0.027119066413227,0.0952644464706722
ABB,2021Q1,2021,0.0204130417721744,599052000000.0,0.0267528160264516,0.0837113711542586
ABB,2021Q2,2021,0.0232302087762861,922230000000.0,0.029118182994225,0.0825555607298513
ABB,2021Q3,2021,0.0290894965441102,492850000000.0,0.0280071800489042,0.0800885147269393
ABB,2021Q4,2021,0.02062082541779,640374000000.0,0.0306099631658875,0.0803015966550313
ABB,2022Q1,2022,0.0231630277544141,619834000000.0,0.0275175039076203,0.0772209640920986
ABB,2022Q2,2022,0.0230336602355882,1257564000000.0,0.0313051796682031,0.0823808878277785
ABB,2022Q3,2022,0.0234554699519145,395414000000.0,0.0310000075645305,0.0866938101910682
ABB,2022Q4,2022,0.0288451431894481,203689000000.0,0.0303635383935958,0.0950528780724293
ABB,2023Q1,2023,0.0402514278013067,728518000000.0,0.0250401928081001,0.1019586251988742
ABB,2023Q2,2023,0.0454678582340033,764930000000.0,0.0223096358190149,0.1021314338215842
ABB,2023Q3,2023,0.0350618364085347,265361000000.0,0.0180294160332696,0.1024292721269845
ABB,2023Q4,2023,0.0291228912898523,314437000000.0,0.0178193794978715,0.0899526674085652
ABB,2024Q1,2024,0.0391951373381056,369326000000.0,0.0176745528300087,0.0812921992941584
ABB,2024Q2,2024,0.0354536989231298,794700000000.0,0.0221822479350818,0.0793346476606986
ABB,2024Q3,2024,0.0319747462207583,182316000000.0,0.0191534203424735,0.0711050791936823
ABB,2024Q4,2024,0.0373838281152773,751804000000.0,0.0202100152012544,0.0687486691959214
ABB,2025Q1,2025,0.0380366437593023,755857000000.0,0.0187488062188568,0.0717893674572147
ACB,2017Q1,2017,0.0108477756247849,1202109000000.0,,
ACB,2017Q2,2017,0.0110453848129813,1026563000000.0,0.0324016541833308,0.0908841984656702
ACB,2017Q3,2017,0.0103754494461488,1266690000000.0,0.033180226754319,0.0918281563580446
ACB,2017Q4,2017,0.0070019475033946,1726188000000.0,0.0358759718917082,0.0929106158034537
ACB,2018Q1,2018,0.006982051210411,1624093000000.0,0.0340571106808516,0.0922761805846737
ACB,2018Q2,2018,0.0078301263803846,1972215000000.0,0.0340309847014194,0.0924845578921363
ACB,2018Q3,2018,0.0083717675588131,1840235000000.0,0.0342794889289703,0.093044205768731
ACB,2018Q4,2018,0.007265857801955,1884439000000.0,0.0381849832586019,0.0988495750994496
ACB,2019Q1,2019,0.0068388712351095,1691233000000.0,0.0358579379357746,0.0942290093759094
ACB,2019Q2,2019,0.0066071196211844,2026495000000.0,0.035201348907041,0.0968906781200606
ACB,2019Q3,2019,0.0066568775623991,2005239000000.0,0.0354039988055553,0.0933163721804862
ACB,2019Q4,2019,0.0053939303382347,2066790000000.0,0.0372812427404878,0.1015032743936885
ACB,2020Q1,2020,0.0065218908411269,2017589000000.0,0.0367535047598825,0.1001042877807397
ACB,2020Q2,2020,0.0067612160658866,2334194000000.0,0.032730256627847,0.0952057459217772
ACB,2020Q3,2020,0.0083380313312201,2753568000000.0,0.0367174585435732,0.0955005574331219
ACB,2020Q4,2020,0.0059085333682009,3431690000000.0,0.0422344462173608,0.0959139063667093
ACB,2021Q1,2021,0.0091093300387849,3710080000000.0,0.0428628384126556,0.0911905351355058
ACB,2021Q2,2021,0.0068192233677478,4634679000000.0,0.0446178231510519,0.0917408553974639
ACB,2021Q3,2021,0.0083879805119177,3435685000000.0,0.0390386385366447,0.0880234148947542
ACB,2021Q4,2021,0.0077349185399042,3553777000000.0,0.0390368163098673,0.0850898506987659
ACB,2022Q1,2022,0.0082088867408392,4111162000000.0,0.0422047551111305,0.0856444513111798
ACB,2022Q2,2022,0.0075788630533019,4646996000000.0,0.042855374808244,0.0860905105457755
ACB,2022Q3,2022,0.0100834173084859,4565196000000.0,0.0448808940421408,0.0907222935663579
ACB,2022Q4,2022,0.0073600895421824,3861668000000.0,0.0454794795268774,0.0996695347399819
ACB,2023Q1,2023,0.0097327099088721,5412511000000.0,0.04201012227403,0.1085334577614339
ACB,2023Q2,2023,0.0106485042001954,5538340000000.0,0.0413289871265413,0.1095920258437462
ACB,2023Q3,2023,0.0120082695862068,5556164000000.0,0.0397929242687263,0.1019489215657999
ACB,2023Q4,2023,0.0120738364217697,5365215000000.0,0.0377060829090139,0.0910548349935904
ACB,2024Q1,2024,0.0145192622657422,5404530000000.0,0.038048535870759,0.0825229979535722
ACB,2024Q2,2024,0.0147640568297393,6186393000000.0,0.0388040142810301,0.0787850614971008
ACB,2024Q3,2024,0.0149131926934675,5202287000000.0,0.0362637595443812,0.0780445543669479
ACB,2024Q4,2024,0.0148955378740086,5818946000000.0,0.0351307727472898,0.0765297322331161
ACB,2025Q1,2025,0.0147699254502627,5222736000000.0,0.0294899368080169,0.0726115037001425
BID,2017Q1,2017,0.021424209232456,4625261000000.0,,
