TICKER,CUR_MKT_CAP,TRADE_DATE
VFS,2941.91725,2025-07-02
TTN,657.42225,2025-07-02
ANV,6283.6357,2025-07-02
BRC,174.48746,2025-07-02
CHP,5068.48705,2025-07-02
FUE,121.974,2025-07-02
HVH,606.67621,2025-07-02
LGL,212.16805,2025-07-02
MHC,347.80958000000004,2025-07-02
PEG,1020.39763,2025-07-02
SVC,1332.40128,2025-07-02
APF,1551.0471100000002,2025-07-02
BAB,11496.26212,2025-07-02
CAV,,2025-07-02
DVP,3100.0,2025-07-02
EVS,988.8037099999999,2025-07-02
HSL,239.11765,2025-07-02
HTM,2353.55702,2025-07-02
ILB,1060.0358999999999,2025-07-02
NHA,993.7004499999999,2025-07-02
SMC,794.95384,2025-07-02
TAL,8482.32,2025-07-02
TBH,1219.8431799999998,2025-07-02
TIP,1264.40282,2025-07-02
TMP,4480.0,2025-07-02
AAM,74.83046,2025-07-02
SSC,463.1853,2025-07-02
TID,4700.0,2025-07-02
VGG,2068.29,2025-07-02
VSC,5952.48876,2025-07-02
YEG,2359.1650299999997,2025-07-02
BMC,231.74218,2025-07-02
EVF,8176.08237,2025-07-02
HT1,4827.11237,2025-07-02
LM8,127.21664,2025-07-02
PHC,254.93009,2025-07-02
PVD,10978.63012,2025-07-02
SAB,59510.894060000006,2025-07-02
AAA,2763.8446099999996,2025-07-02
AAT,218.12284,2025-07-02
DC4,1329.23557,2025-07-02
DTA,88.85436999999999,2025-07-02
HUT,11431.29325,2025-07-02
KSB,1962.70951,2025-07-02
MSR,20444.29081,2025-07-02
NAB,23607.86951,2025-07-02
NT2,5469.64455,2025-07-02
PJT,265.00165999999996,2025-07-02
SGI,988.5875699999999,2025-07-02
SQC,1824.083,2025-07-02
TN1,581.83451,2025-07-02
CRC,651.16728,2025-07-02
DTP,2616.12157,2025-07-02
HAN,1354.0608,2025-07-02
ICT,394.26625,2025-07-02
MIG,3454.58238,2025-07-02
MVC,1030.0,2025-07-02
NVB,14682.90939,2025-07-02
PRE,2088.0,2025-07-02
QNP,1276.95442,2025-07-02
VNG,742.22052,2025-07-02
ADP,686.58753,2025-07-02
BVH,39714.267869999996,2025-07-02
DCF,1762.959,2025-07-02
FUE,51.414,2025-07-02
HAS,58.5,2025-07-02
LDG,886.987,2025-07-02
PET,2588.01168,2025-07-02
PLP,292.59936,2025-07-02
SHB,52644.99807,2025-07-02
VMD,268.66065999999995,2025-07-02
AGG,2665.46053,2025-07-02
BCE,346.5,2025-07-02
CNT,693.031,2025-07-02
DHC,2839.78146,2025-07-02
FUE,402.61,2025-07-02
PVT,8341.376110000001,2025-07-02
SJF,134.64,2025-07-02
TDW,465.8,2025-07-02
TLG,4919.20842,2025-07-02
TMS,7112.12607,2025-07-02
VOS,2044.0,2025-07-02
DTK,8193.2097,2025-07-02
DVN,5545.8,2025-07-02
FCM,184.44423999999998,2025-07-02
FUC,,2025-07-02
FUC,,2025-07-02
KHP,733.57746,2025-07-02
LDW,1709.96,2025-07-02
SRC,704.39054,2025-07-02
TCT,216.11720000000003,2025-07-02
GMA,1069.99995,2025-07-02
INN,1080.9512,2025-07-02
MML,11154.8829,2025-07-02
NLG,14998.68309,2025-07-02
OPC,1524.41123,2025-07-02
SRF,292.25565,2025-07-02
TLP,1750.69126,2025-07-02
TNH,2363.78563,2025-07-02
VTB,105.8843,2025-07-02
MBB,158964.20278999998,2025-07-02
MVB,1890.0,2025-07-02
S4A,1519.2,2025-07-02
SBG,632.49953,2025-07-02
SJD,1021.17958,2025-07-02
VCR,9345.0,2025-07-02
VFM,,2025-07-02
CLL,1154.3,2025-07-02
PVC,925.61688,2025-07-02
SFG,502.922,2025-07-02
TNI,120.225,2025-07-02
VGV,1073.23344,2025-07-02
CIG,438.94354,2025-07-02
CMX,748.95758,2025-07-02
DSP,1400.4712,2025-07-02
FPT,175685.75247,2025-07-02
HAH,8715.915449999999,2025-07-02
HID,194.20126000000002,2025-07-02
NAV,137.59966,2025-07-02
PC1,7796.59824,2025-07-02
SFC,238.81436,2025-07-02
VGT,6500.0,2025-07-02
C32,268.28809,2025-07-02
DRG,1308.72,2025-07-02
HAR,318.62802,2025-07-02
MBS,15751.53085,2025-07-02
NNC,729.936,2025-07-02
SHA,135.12457,2025-07-02
SVI,766.09649,2025-07-02
SWC,2328.37,2025-07-02
TRC,1974.675,2025-07-02
TV2,2491.71549,2025-07-02
SBB,1304.11559,2025-07-02
TCH,13364.316859999999,2025-07-02
TTF,1011.3784899999999,2025-07-02
VIC,364777.31292,2025-07-02
VND,26640.24839,2025-07-02
ACB,109410.78556,2025-07-02
BCM,70587.0,2025-07-02
HSG,10556.69925,2025-07-02
PHP,12522.568,2025-07-02
BIC,4667.62042,2025-07-02
DBD,5079.96928,2025-07-02
DBT,244.31474,2025-07-02
FRT,24659.87241,2025-07-02
GMH,123.915,2025-07-02
HTL,339.6,2025-07-02
HVT,947.71659,2025-07-02
KDC,16316.095589999999,2025-07-02
PAP,6264.0,2025-07-02
SAV,429.55226,2025-07-02
TCL,1019.35514,2025-07-02
TIS,975.14117,2025-07-02
TTD,1115.0783999999999,2025-07-02
UIC,323.1812,2025-07-02
FUE,,2025-07-02
CCI,387.65842,2025-07-02
CMG,8621.07293,2025-07-02
CNG,1023.14454,2025-07-02
FUE,11360.725,2025-07-02
GEE,35501.995729999995,2025-07-02
TLD,530.19605,2025-07-02
VSN,1537.1855,2025-07-02
ABS,284.8,2025-07-02
FUE,304.87,2025-07-02
HAG,13957.67054,2025-07-02
SKG,678.27651,2025-07-02
ST8,168.21470000000002,2025-07-02
TSJ,2453.3547200000003,2025-07-02
VIB,54518.03901,2025-07-02
ABB,8694.3088,2025-07-02
BSI,10489.39406,2025-07-02
BSQ,868.5,2025-07-02
CEO,9565.19385,2025-07-02
CQN,2356.56799,2025-07-02
DGC,38661.44244,2025-07-02
DSN,561.85992,2025-07-02
HHP,812.74528,2025-07-02
HPG,175768.9555,2025-07-02
HPX,1301.84153,2025-07-02
IJC,4797.40448,2025-07-02
NVT,746.625,2025-07-02
PAC,1617.2153999999998,2025-07-02
PGI,2262.29464,2025-07-02
PGS,1544.96273,2025-07-02
SCR,3121.8140099999996,2025-07-02
TSC,559.07935,2025-07-02
VFM,,2025-07-02
BCR,852.83984,2025-07-02
BTT,521.1,2025-07-02
CTI,1334.3799299999998,2025-07-02
DGW,9796.840890000001,2025-07-02
DHT,6727.19924,2025-07-02
HHS,6566.18671,2025-07-02
NO1,180.0,2025-07-02
PNJ,28012.34249,2025-07-02
SGN,2172.9767,2025-07-02
TCO,311.95340000000004,2025-07-02
VOC,1741.74,2025-07-02
VTP,14187.724390000001,2025-07-02
ASG,1588.73171,2025-07-02
BVS,2411.48484,2025-07-02
CKG,2176.31122,2025-07-02
CTG,225002.65424,2025-07-02
DHG,13166.12935,2025-07-02
DLG,688.41236,2025-07-02
DMC,2146.1573399999997,2025-07-02
GDA,2213.54614,2025-07-02
GEG,5750.8493499999995,2025-07-02
HHV,5874.56855,2025-07-02
HVX,104.64363,2025-07-02
L14,913.43572,2025-07-02
LHG,1695.4071399999998,2025-07-02
LIC,2934.0,2025-07-02
NTP,11100.414279999999,2025-07-02
SAS,5765.12251,2025-07-02
SFI,639.13414,2025-07-02
SGT,2582.65598,2025-07-02
TBC,2381.25,2025-07-02
TBD,3841.57945,2025-07-02
TVS,2964.1661099999997,2025-07-02
VFC,3623.4738500000003,2025-07-02
VGS,1566.09953,2025-07-02
ABT,577.0855899999999,2025-07-02
CDN,3098.7,2025-07-02
CMM,1987.36996,2025-07-02
CSV,4016.67173,2025-07-02
DNW,3840.0,2025-07-02
DRL,534.85,2025-07-02
FTS,13807.94566,2025-07-02
HTP,110.16597999999999,2025-07-02
ISH,1228.5,2025-07-02
KBC,25568.64171,2025-07-02
PGB,5754.0,2025-07-02
SBT,16127.99175,2025-07-02
TPB,35930.60427,2025-07-02
VAF,742.00736,2025-07-02
VNR,3921.41628,2025-07-02
ABR,253.0,2025-07-02
BRR,2227.5,2025-07-02
ITC,1429.43223,2025-07-02
KLB,6253.63649,2025-07-02
LSG,1584.0,2025-07-02
PAT,2350.0,2025-07-02
SID,1920.0,2025-07-02
SJS,11105.0043,2025-07-02
VIT,924.99378,2025-07-02
VNS,646.6981,2025-07-02
BWE,10688.5321,2025-07-02
CII,8168.09482,2025-07-02
IDC,15905.99658,2025-07-02
NET,1827.70732,2025-07-02
PHS,2120.09889,2025-07-02
PLC,2003.77964,2025-07-02
PVS,15390.514539999998,2025-07-02
TCR,136.27543,2025-07-02
THG,1789.96965,2025-07-02
TVN,4949.4,2025-07-02
VAB,7991.40864,2025-07-02
VIF,5880.0,2025-07-02
APG,2772.91208,2025-07-02
FDC,614.1134599999999,2025-07-02
FUE,,2025-07-02
FUE,163.618,2025-07-02
GEX,34381.39992,2025-07-02
IDJ,867.45096,2025-07-02
PHR,8617.74899,2025-07-02
PXL,2199.97125,2025-07-02
SC5,250.22442999999998,2025-07-02
SHP,3643.42867,2025-07-02
VCF,7766.42351,2025-07-02
VCP,2119.87835,2025-07-02
VPG,699.3685899999999,2025-07-02
APH,1492.57172,2025-07-02
FMC,2510.93334,2025-07-02
NTC,4127.9965600000005,2025-07-02
PAN,6131.06091,2025-07-02
SBS,689.05572,2025-07-02
VNL,301.19237,2025-07-02
C47,252.57877,2025-07-02
CRE,3964.45054,2025-07-02
DRI,966.24,2025-07-02
IDP,13596.983839999999,2025-07-02
KSF,19680.0,2025-07-02
PDN,5328.76617,2025-07-02
PDR,16103.42272,2025-07-02
STK,2599.5332599999997,2025-07-02
VCG,14674.83123,2025-07-02
BMI,2778.86704,2025-07-02
CC1,10734.3441,2025-07-02
E1V,5913.071,2025-07-02
PTL,275.83357,2025-07-02
VHM,312163.3123,2025-07-02
VPD,2707.37658,2025-07-02
CVT,1003.49576,2025-07-02
HII,305.70152,2025-07-02
HND,5850.0,2025-07-02
HTI,459.06528000000003,2025-07-02
L18,1312.73206,2025-07-02
PLX,46948.38308,2025-07-02
PTI,2870.09267,2025-07-02
QNS,17610.346530000003,2025-07-02
THD,10818.499210000002,2025-07-02
VC7,855.2059499999999,2025-07-02
VGI,223720.1232,2025-07-02
ABI,2157.2741499999997,2025-07-02
DCM,17840.78,2025-07-02
FUE,872.37,2025-07-02
LLM,1371.28899,2025-07-02
PGV,21402.066280000003,2025-07-02
QTP,5940.0,2025-07-02
SHI,2387.80408,2025-07-02
SMB,1205.80458,2025-07-02
TRA,2789.6213399999997,2025-07-02
VCI,26210.63102,2025-07-02
VSH,11788.43818,2025-07-02
ACL,589.36847,2025-07-02
AGM,58.24,2025-07-02
DQC,294.87131,2025-07-02
EIB,42190.62175,2025-07-02
GHC,1439.4075,2025-07-02
OGC,1170.0,2025-07-02
PGD,2514.5317,2025-07-02
VBB,8210.325280000001,2025-07-02
VLB,2149.14576,2025-07-02
CCL,407.5369,2025-07-02
FUC,,2025-07-02
HAP,686.73285,2025-07-02
HHC,2248.5825,2025-07-02
OIL,11583.3704,2025-07-02
PTB,3614.6737599999997,2025-07-02
SBM,1536.0329,2025-07-02
DCL,1690.89984,2025-07-02
DTD,1147.0001499999998,2025-07-02
DTT,152.43903,2025-07-02
HPW,1372.82839,2025-07-02
MDG,134.73839,2025-07-02
MSN,108164.0416,2025-07-02
SEA,5124.6105,2025-07-02
SSB,51636.75,2025-07-02
TDH,484.4069,2025-07-02
VEA,52221.84,2025-07-02
VRC,630.0,2025-07-02
HCM,24515.01643,2025-07-02
ND2,1899.77048,2025-07-02
PPC,3654.98882,2025-07-02
VCA,137.29339000000002,2025-07-02
ACC,1469.9998999999998,2025-07-02
BCF,1469.2366000000002,2025-07-02
DNP,3016.67317,2025-07-02
HAX,1616.9672,2025-07-02
BTP,722.8029200000001,2025-07-02
CDC,664.05922,2025-07-02
FIR,578.20753,2025-07-02
HRT,,2025-07-02
NAF,1415.53628,2025-07-02
NKG,6086.96398,2025-07-02
TPC,202.6526,2025-07-02
VID,211.12248000000002,2025-07-02
CTD,8424.10018,2025-07-02
DIG,11247.90272,2025-07-02
DPM,15183.769289999998,2025-07-02
DTL,563.86815,2025-07-02
IDI,2018.74602,2025-07-02
IMP,8008.46602,2025-07-02
LIX,1973.16,2025-07-02
MPC,5532.94854,2025-07-02
PSH,223.32051,2025-07-02
RTB,2805.4455,2025-07-02
SGR,2068.29967,2025-07-02
VGR,3984.75,2025-07-02
BWS,3340.2527999999998,2025-07-02
CAP,578.73167,2025-07-02
CMV,150.6937,2025-07-02
DNA,1408.23918,2025-07-02
KSV,32840.0,2025-07-02
POW,30210.143640000002,2025-07-02
TIG,1393.96468,2025-07-02
TMG,979.2,2025-07-02
TVT,322.35,2025-07-02
VCW,2430.0,2025-07-02
VPL,169646.21566,2025-07-02
FUE,2024.0,2025-07-02
GMD,25211.538539999998,2025-07-02
HDC,4539.13388,2025-07-02
NBB,2178.47554,2025-07-02
REE,35911.93462,2025-07-02
SHS,11985.79375,2025-07-02
STB,89642.0073,2025-07-02
VIX,20904.01756,2025-07-02
AIC,1060.0,2025-07-02
BMP,11534.20616,2025-07-02
CST,668.40966,2025-07-02
DPR,3640.5205499999997,2025-07-02
GIL,1976.0464399999998,2025-07-02
HRC,1024.00449,2025-07-02
LEC,120.06,2025-07-02
NTL,2201.73719,2025-07-02
TCM,3697.2789199999997,2025-07-02
TLH,640.2241,2025-07-02
VNZ,9841.28629,2025-07-02
ADS,614.9775500000001,2025-07-02
GAS,155553.48182,2025-07-02
ADG,192.21088,2025-07-02
CSM,1357.49093,2025-07-02
DXV,38.115,2025-07-02
HMC,327.59999,2025-07-02
MSB,31850.0,2025-07-02
NSC,1485.0466000000001,2025-07-02
PIT,103.30834,2025-07-02
PNC,255.94462,2025-07-02
TCD,664.9248699999999,2025-07-02
TTE,1138.19148,2025-07-02
DAG,84.43975999999999,2025-07-02
FCN,2164.7863199999997,2025-07-02
KMR,172.90852999999998,2025-07-02
MSH,4281.4248099999995,2025-07-02
OCH,1180.0,2025-07-02
SBA,1808.599,2025-07-02
SGP,5926.48193,2025-07-02
SLS,1943.70108,2025-07-02
SVT,221.58051999999998,2025-07-02
VEF,31154.396350000003,2025-07-02
VHC,13646.75207,2025-07-02
VPH,493.95340000000004,2025-07-02
CMF,2486.7,2025-07-02
ELC,2233.82519,2025-07-02
FUE,96.72,2025-07-02
FUE,331.816,2025-07-02
LAS,2403.84132,2025-07-02
SNZ,11671.2458,2025-07-02
VJC,48853.34233,2025-07-02
